ticker,exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website
DTL,HOSE,Tài nguyên Cơ bản,CT,220,0.0,60.6,61.4,2001.0,187,2.2,0.01,-0.007,-0.496,Đại Thiên Lộc,http://daithienloc.com.vn
DTP,UPCOM,Y tế,CT,176,0.0,16.2,16.2,2009.0,1654,2.9,0.0,-0.013,0.507,Dược phẩm CPC1 Hà Nội,https://cpc1hn.com.vn
DTT,HOSE,Hóa chất,CT,704,0.002,8.2,8.2,1994.0,182,2.6,-0.076,-0.049,-0.139,Kỹ nghệ Đô Thành,http://dothanhtech.com
DTV,OTC,"Điện, nước & xăng dầu khí đốt",CT,120,0.0,5.3,5.3,1996.0,185,2.8,,,,PT điện Nông thôn Trà Vinh,http://www.diennongthontv.com
DUS,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,107,0.0,5.6,5.6,2003.0,408,,-0.006,-0.015,-0.508,Dịch vụ Đô thị Đà Lạt,http://dothidalat.com.vn
DVC,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,274,0.0,10.8,10.8,2000.0,168,,-0.028,-0.197,-0.417,TM dịch vụ Cảng Hải Phòng,http://www.dichvucang.com
DVG,UPCOM,Xây dựng và Vật liệu,CT,0,0.001,28.0,28.0,2006.0,20,2.3,-0.006,-0.148,-0.712,Tập đoàn Sơn Đại Việt,http://www.davipaint.com
DVM,HNX,Y tế,CT,1472,0.0,42.8,42.8,2011.0,252,2.2,-0.017,-0.074,-0.345,Dược liệu Việt Nam,https://duoclieuvietnam.com.vn
DVN,UPCOM,Y tế,CT,283,0.0,237.0,237.0,2011.0,989,2.5,-0.022,-0.125,0.139,Tổng Công ty Dược Việt Nam,http://www.vinapharm.com.vn
DVP,HOSE,Hàng & Dịch vụ Công nghiệp,CT,1339,0.143,40.0,40.0,2003.0,421,3.1,-0.015,-0.013,0.132,ĐT và PT Cảng Đình Vũ,http://www.dinhvuport.com.vn
DVW,UPCOM,Xây dựng và Vật liệu,CT,99,0.0,2.3,2.3,2008.0,98,,-0.006,-0.039,0.978,DV và XD cấp nước Đồng Nai,http://www.dvxdcn.com
DWC,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,387,0.0,31.5,20.2,2006.0,401,2.5,-0.006,0.072,0.34,Cấp nước Đắk Lắk,http://www.dakwaco.com.vn
DWS,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,555,0.0,25.9,25.9,2006.0,766,,-0.299,0.241,0.322,Cấp nước Đồng Tháp,https://dowasen.com
DXG,HOSE,Bất động sản,CT,66029,0.181,720.7,722.5,2007.0,2542,2.4,-0.016,-0.031,-0.203,Địa ốc Đất Xanh,https://www.datxanh.vn
DXL,UPCOM,Du lịch và Giải trí,CT,123,0.019,4.0,4.0,2006.0,50,,-0.006,-0.234,-0.463,Du lịch và Xuất nhập khẩu Lạng Sơn,http://tocolimexlangson.com
DXP,HNX,Hàng & Dịch vụ Công nghiệp,CT,0,0.007,59.9,59.9,2001.0,203,2.9,0.002,0.011,-0.21,Cảng Đoạn Xá,http://doanxaport.com.vn
DXS,HOSE,Bất động sản,CT,9293,0.181,579.1,579.1,2011.0,2273,2.3,-0.013,-0.052,-0.295,Dịch vụ BĐS Đất Xanh,https://datxanhservices.vn
DXV,HOSE,Xây dựng và Vật liệu,CT,1095,0.005,9.9,9.9,2006.0,243,2.7,0.015,-0.001,-0.136,Vật liệu Xây dựng Đà Nẵng,http://coxiva.com.vn
DZM,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,0,0.097,5.4,5.4,2001.0,39,,-0.006,-0.015,-0.131,Cơ điện Dzĩ An,http://www.dzima.com
E12,UPCOM,Xây dựng và Vật liệu,CT,152,0.0,1.2,1.2,2015.0,91,,-0.006,0.002,0.042,XD Điện VNECO 12,http://www.vneco12.com.vn
E29,UPCOM,Xây dựng và Vật liệu,CT,251,0.0,5.0,5.0,2012.0,562,,-0.103,-0.087,0.172,Đầu tư XD và Kỹ thuật 29,http://www.congty29.vn
EBS,HNX,Truyền thông,CT,663,0.007,10.0,10.2,2004.0,53,,-0.016,-0.033,-0.263,Sách Giáo dục Hà Nội,http://www.sachgiaoduchanoi.vn
ECI,HNX,Truyền thông,CT,94,0.048,1.8,1.9,2007.0,40,,-0.006,-0.015,-0.131,Bản đồ và tranh ảnh GD,http://www.bandotranhanh.vn
EFI,UPCOM,Bất động sản,CT,660,0.0,10.9,10.9,2007.0,2,,-0.006,0.041,0.056,Tài chính giáo dục,http://www.efi.vn
EIB,HOSE,Ngân hàng,NH,25371,0.026,1862.7,1747.0,1992.0,6226,2.9,-0.03,0.106,0.054,Eximbank,https://eximbank.com.vn
EIC,UPCOM,Xây dựng và Vật liệu,CT,1726,0.0,36.7,36.7,2008.0,31,3.0,0.034,-0.028,-0.062,EVN Quốc Tế,http://evni.vn
EID,HNX,Truyền thông,CT,1262,0.122,15.0,15.0,2007.0,161,3.0,-0.014,0.011,0.274,Phát triển GD Hà Nội,http://www.heid.vn
EIN,UPCOM,Du lịch và Giải trí,CT,0,0.0,45.4,45.4,2007.0,15,2.7,-0.045,-0.019,-0.444,Đầu tư - TM - DV Điện lực,https://ecinvest.vn
ELC,HOSE,Công nghệ Thông tin,CT,4404,0.026,83.3,83.3,2003.0,237,2.8,0.002,0.063,0.414,ELCOM,https://www.elcom.com.vn
EME,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,204,0.031,3.8,3.8,1999.0,75,,-0.006,0.11,-0.568,Điện Cơ,http://emec.vn
EMG,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,138,0.0,3.0,3.0,2005.0,33,,-0.006,-0.031,-0.289,Thiết bị phụ tùng cơ điện,http://www.emesco.com.vn
EMS,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,809,0.02,21.0,21.0,2015.0,1704,3.2,-0.051,-0.113,0.146,Chuyển phát nhanh Bưu điện,http://www.ems.com.vn
EPC,UPCOM,Thực phẩm và đồ uống,CT,222,0.0,9.4,9.4,1993.0,32,2.4,-0.006,0.128,-0.342,Cà Phê Ea Pốk,https://eapokcafe.com
EPH,UPCOM,Truyền thông,CT,200,0.002,2.5,2.5,2009.0,112,,-0.006,-0.062,0.258,Xuất bản giáo dục Hà Nội,http://xbgdhn.vn
EVE,HOSE,Hàng cá nhân & Gia dụng,CT,2465,0.628,42.0,42.0,2007.0,1175,2.8,-0.033,-0.058,-0.402,Everpia,https://everpia.vn
EVF,HOSE,Dịch vụ tài chính,NH,55830,0.007,704.2,704.2,2008.0,303,2.6,0.024,0.015,-0.105,Tài chính Điện lực,http://www.evnfc.vn
EVG,HOSE,Xây dựng và Vật liệu,CT,1398,0.004,215.2,215.2,2009.0,52,2.4,-0.011,-0.052,0.113,Tập đoàn Everland,https://www.everland.vn
EVS,HNX,Dịch vụ tài chính,CK,2401,0.004,164.8,164.8,2006.0,138,2.5,-0.022,0.034,-0.375,Chứng khoán Everest,https://www.eves.com.vn
FBA,UPCOM,Hàng cá nhân & Gia dụng,CT,0,0.01,3.4,3.4,2003.0,0,,-0.006,-0.015,-0.131,Tập đoàn Quốc tế FBA,http://www.uslight.vn
FBC,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,222,0.0,3.7,3.7,2004.0,954,,-0.006,-0.015,-0.131,Cơ khí Phổ Yên,http://www.fomeco.vn
FCC,UPCOM,Thực phẩm và đồ uống,CT,126,0.0,6.0,6.0,2005.0,46,,-0.006,-0.015,-0.131,Liên hợp Thực phẩm,http://www.lhtp.com.vn
FCM,HOSE,Xây dựng và Vật liệu,CT,3423,0.029,45.1,45.1,2007.0,275,2.8,-0.01,-0.015,-0.547,Khoáng sản FECON,http://feconmining.com.vn
FCN,HOSE,Xây dựng và Vật liệu,CT,17004,0.313,157.4,157.4,2004.0,1115,2.1,-0.006,0.021,-0.273,FECON CORP,http://www.fecon.com.vn
FCS,UPCOM,Thực phẩm và đồ uống,CT,279,0.0,29.5,29.5,2008.0,174,,-0.015,0.185,-0.062,Lương thực TP Hồ Chí Minh,http://www.foodcosa.vn
FDC,HOSE,Bất động sản,CT,548,0.0,38.6,38.6,1993.0,29,1.9,0.265,0.301,0.113,FIDECO,https://fideco.com.vn
FGL,UPCOM,Thực phẩm và đồ uống,CT,175,0.0,14.7,14.7,1996.0,31,,0.057,-0.097,-0.323,Cà Phê Gia Lai,http://gialaicoffee.com.vn
FHN,UPCOM,Bán lẻ,CT,260,0.0,3.0,3.0,2005.0,165,,-0.006,-0.015,-0.124,XNK lương thực Hà Nội,http://www.vihafood.com
FHS,UPCOM,Truyền thông,CT,525,0.0,12.8,12.8,1976.0,2200,,0.144,0.17,0.531,Phát hành sách TP HCM - FAHASA,http://www.fahasasg.com.vn
FIC,UPCOM,Xây dựng và Vật liệu,CT,278,0.0,127.0,127.0,2010.0,765,2.3,-0.028,-0.004,0.041,VLXD số 1,https://www.fico.com.vn
FID,HNX,Bất động sản,CT,3071,0.0,24.7,24.7,2010.0,205,,-0.083,-0.092,-0.631,Đầu tư và PT doanh nghiệp VN,http://www.vndi.vn
FIR,HOSE,Bất động sản,CT,1227,0.002,64.2,64.2,2014.0,32,2.0,-0.027,-0.063,-0.885,Địa ốc First Real,https://fir.vn
FIT,HOSE,Dịch vụ tài chính,CT,22438,0.0,339.9,339.9,2007.0,1727,2.5,-0.002,0.002,-0.266,Tập đoàn F.I.T,https://fitgroup.com.vn
FLC,UPCOM,Bất động sản,CT,64179,0.022,710.0,710.0,2008.0,510,2.4,-0.006,-0.015,-0.131,Tập đoàn FLC,http://www.flc.vn
FMC,HOSE,Thực phẩm và đồ uống,CT,1578,0.311,65.4,65.4,2003.0,5398,2.7,0.014,0.001,-0.164,Thực phẩm Sao Ta,https://www.fimexvn.com
FOC,UPCOM,Truyền thông,CT,110,0.009,18.4,18.5,2007.0,364,2.7,0.023,-0.037,-0.003,FPT Online,http://www.fptonline.net
FOX,UPCOM,Viễn thông,CT,564,0.0,492.5,492.5,2005.0,9252,2.8,0.029,-0.02,0.912,FPT Telecom,https://fpt.vn
FPT,HOSE,Công nghệ Thông tin,CT,121463,0.465,1460.4,1460.4,2002.0,48878,3.2,0.051,0.065,0.585,FPT Corp,https://www.fpt.com.vn
FRC,UPCOM,Tài nguyên Cơ bản,CT,197,0.0,3.0,3.0,2015.0,645,,-0.026,0.072,-0.075,Lâm đặc sản xuất khẩu Quảng Nam,https://forexco.com.vn
FRM,UPCOM,Tài nguyên Cơ bản,CT,219,0.0,11.7,11.7,2010.0,47,,-0.006,-0.015,-0.476,Lâm nghiệp Sài Gòn,http://www.forimex.vn
FRT,HOSE,Bán lẻ,CT,11248,0.373,136.2,136.2,2012.0,19275,2.1,0.013,-0.028,0.739,Bán lẻ FPT,https://frt.vn
FSO,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,182,0.0,5.6,5.6,2006.0,68,,-0.006,-0.015,-0.595,Đóng tàu thủy sản VN,http://www.dongtauthuysan.vn
FT1,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,949,0.003,7.1,7.1,2008.0,1124,,0.016,0.085,0.159,Phụ tùng máy số 1,http://www.futu1.com.vn
FTI,UPCOM,Ô tô và phụ tùng,CT,100,0.0,3.9,3.9,2005.0,15,,-0.006,-0.015,-0.131,Công nghiệp - Thương mại Hữu Nghị,http://www.ftic.vn
FTM,UPCOM,Hàng cá nhân & Gia dụng,CT,7784,0.006,50.0,50.0,2006.0,543,,-0.118,-0.015,0.012,Phát triển Đức Quân,http://www.fortex.com.vn
FTS,HOSE,Dịch vụ tài chính,CK,10148,0.304,305.9,305.9,2007.0,473,2.4,-0.008,0.008,0.278,Chứng khoán FPT,http://www.fpts.com.vn
G20,UPCOM,Hàng cá nhân & Gia dụng,CT,110,0.001,14.4,14.4,2010.0,1,,-0.006,-0.015,-0.298,Đầu tư Dệt may Vĩnh Phúc,http://www.ghome.vn
G36,UPCOM,Xây dựng và Vật liệu,CT,9167,0.0,103.7,103.7,2006.0,420,2.0,-0.018,-0.031,-0.197,Tổng Công ty 36,http://36corp.com
GAB,UPCOM,Xây dựng và Vật liệu,CT,188,0.003,14.9,14.9,2016.0,83,2.2,-0.006,-0.015,-0.131,ĐT Khai khoáng và QL Tài sản FLC,https://flcgab.vn
GAS,HOSE,"Điện, nước & xăng dầu khí đốt",CT,6390,0.018,2342.7,2296.7,1990.0,2827,2.6,0.005,-0.064,-0.201,PV Gas,https://www.pvgas.com.vn
GCB,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,220,0.0,4.0,4.0,2001.0,90,,-0.006,-0.015,-0.102,PETEC Bình Định,https://petecbidico.com.vn
GCF,UPCOM,Thực phẩm và đồ uống,CT,213,0.0,30.7,30.7,2011.0,551,2.7,0.033,0.035,0.566,Thực phẩm G.C,https://gcfood.com.vn
GDA,UPCOM,Tài nguyên Cơ bản,CT,269,0.224,114.7,114.7,1998.0,1458,2.6,0.006,0.002,0.084,Tôn Đông Á,http://www.tondonga.com.vn
GDT,HOSE,Hàng cá nhân & Gia dụng,CT,2468,0.103,21.5,21.7,2000.0,768,2.2,-0.003,-0.027,-0.083,Gỗ Đức Thành,https://goducthanh.com
GDW,HNX,"Điện, nước & xăng dầu khí đốt",CT,297,0.063,9.5,9.5,1991.0,311,2.7,0.018,0.054,-0.195,Cấp nước Gia Định,https://www.capnuocgiadinh.vn
GEE,HOSE,Hàng & Dịch vụ Công nghiệp,CT,821,0.0,300.0,300.0,2016.0,2116,2.3,-0.006,-0.03,0.18,Thiết bị điện GELEX,https://gelex-electric.com
GEG,HOSE,"Điện, nước & xăng dầu khí đốt",CT,13111,0.455,358.3,358.3,2010.0,526,2.3,0.002,-0.019,-0.299,Điện Gia Lai,https://geccom.vn
GER,UPCOM,Hóa chất,CT,129,0.0,2.2,2.2,2006.0,130,,-0.006,-0.411,-0.021,Thể thao Ngôi sao Geru,http://www.gerusport.com.vn
GEX,HOSE,Hàng & Dịch vụ Công nghiệp,CT,3914,0.077,859.4,851.5,2012.0,8752,2.4,-0.009,-0.008,-0.097,Tập đoàn Gelex,https://gelex.vn
GGG,UPCOM,Ô tô và phụ tùng,CT,0,0.021,29.4,29.4,2001.0,24,,0.119,-0.092,-0.348,Ôtô Giải Phóng,https://giaiphong.com.vn
GH3,UPCOM,Xây dựng và Vật liệu,CT,528,0.0,11.5,11.5,2005.0,416,,-0.006,-0.01,0.221,Công trình giao thông Hà Nội,http://giaothonghanoi.com.vn
GHC,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,4346,0.039,47.7,47.7,2002.0,74,3.2,0.003,-0.012,0.063,Thủy điện Gia Lai,https://ghc.vn
GIC,HNX,Hàng & Dịch vụ Công nghiệp,CT,0,0.101,12.1,12.1,2017.0,145,,0.0,-0.015,-0.122,ĐT Dịch vụ và PT Xanh,https://greenicd.com.vn
GIL,HOSE,Hàng cá nhân & Gia dụng,CT,0,0.017,70.0,70.0,2000.0,927,2.3,0.002,0.006,-0.209,XNK Bình Thạnh,https://www.gilimex.com
GKM,HNX,Xây dựng và Vật liệu,CT,328,0.002,31.4,31.4,2010.0,3,2.4,-0.068,-0.752,-0.852,Khang Minh Group,https://khangminhgroup.com
GLC,UPCOM,Tài nguyên Cơ bản,CT,106,0.0,10.5,10.5,2007.0,19,,-0.006,-0.015,-0.131,Vàng Lào Cai,https://vanglaocai.com.vn
GLT,HNX,Hàng cá nhân & Gia dụng,CT,266,0.016,9.4,10.5,1996.0,72,,0.026,-0.032,0.26,KT Điện Toàn Cầu,https://toancau.vn
GLW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,146,0.0,18.0,18.0,2017.0,109,,-0.398,-0.406,-0.171,Cấp thoát nước Gia Lai,https://capthoatnuocgialai.com
GMA,HNX,Ô tô và phụ tùng,CT,140,0.0,20.0,20.0,2011.0,584,1.9,-0.006,-0.015,0.076,G-Automobile,https://g-automobile.vn
GMC,HOSE,Hàng cá nhân & Gia dụng,CT,0,0.069,33.0,33.0,2003.0,33,2.8,0.005,-0.031,-0.211,Garmex Sài Gòn,https://www.garmex.vn
GMD,HOSE,Hàng & Dịch vụ Công nghiệp,CT,9675,0.485,310.5,310.5,1993.0,1440,2.8,-0.017,-0.024,0.059,Gemadept,http://www.gemadept.com.vn
GMH,HOSE,Xây dựng và Vật liệu,CT,492,0.007,16.5,16.5,2006.0,405,,-0.013,-0.098,-0.235,Minh Hưng Quảng Trị,http://minhhungqt.vn
GMX,HNX,Xây dựng và Vật liệu,CT,612,0.063,9.0,9.0,2003.0,356,,-0.001,-0.036,-0.088,Gạch ngói Mỹ Xuân,http://www.myxuan-vt.com.vn
GND,UPCOM,Xây dựng và Vật liệu,CT,274,0.003,9.0,9.0,2006.0,469,3.2,0.163,0.045,-0.171,Gạch ngói Đồng Nai,https://www.tuildonai.com.vn
GPC,UPCOM,Y tế,CT,484,0.0,54.1,41.6,2016.0,33,,-0.058,0.003,-0.045,Tập đoàn Green+,https://greenplus.group
GSM,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,0,0.0,28.6,28.6,2003.0,50,2.5,-0.008,-0.086,-0.395,Thủy điện Hương Sơn,https://thuydienhuongson.vn
GSP,HOSE,Hàng & Dịch vụ Công nghiệp,CT,350,0.007,61.4,61.4,2007.0,254,3.0,-0.003,-0.019,-0.056,Vận tải Sản phẩm Khí Quốc tế,http://www.gasshipping.com.vn
GTA,HOSE,Tài nguyên Cơ bản,CT,1546,0.002,9.8,10.4,2001.0,522,2.2,-0.021,-0.019,-0.446,Gỗ Thuận An,http://gothuanan.vn
GTD,UPCOM,Hàng cá nhân & Gia dụng,CT,144,0.0,9.3,9.3,2005.0,380,1.5,0.153,-0.143,-0.288,Giầy Thượng Đình,http://www.thuongdinhfootwear.com.vn
GTS,UPCOM,Xây dựng và Vật liệu,CT,638,0.0,28.5,28.5,2010.0,503,2.8,-0.072,-0.114,-0.037,Công trình Giao thông Sài Gòn,http://www.giaothongsaigon.com.vn
GTT,UPCOM,Du lịch và Giải trí,CT,1849,0.001,43.5,43.5,1985.0,5,,-0.006,-0.015,-0.531,Thuận Thảo Group,http://www.thuanthao.com.vn
GVR,HOSE,Hóa chất,CT,22532,0.005,4000.0,4000.0,2010.0,223,2.8,-0.004,0.019,0.648,Tập đoàn CN Cao su VN,https://vnrubbergroup.com
GVT,UPCOM,Tài nguyên Cơ bản,CT,239,0.0,11.6,11.6,2008.0,444,2.4,-0.006,0.012,-0.166,Giấy Việt Trì,http://giayviettri.com
H11,UPCOM,Xây dựng và Vật liệu,CT,232,0.002,1.1,1.1,2007.0,30,,-0.271,0.096,0.301,Xây dựng HUD101,http://www.hud101.vn
HAC,UPCOM,Dịch vụ tài chính,CK,8048,0.006,29.2,29.2,2015.0,46,2.4,-0.002,-0.217,0.057,Chứng khoán Hải Phòng,https://haseco.vn
HAD,HNX,Thực phẩm và đồ uống,CT,410,0.115,4.0,4.0,2003.0,153,,-0.006,-0.14,-0.284,Bia Hà Nội - Hải Dương,http://habecohd.com.vn
HAF,UPCOM,Thực phẩm và đồ uống,CT,184,0.0,14.5,14.5,2005.0,58,2.7,-0.079,-0.353,-0.73,Thực phẩm Hà Nội,http://thucphamhanoi.com.vn
HAG,HOSE,Thực phẩm và đồ uống,CT,37842,0.023,1057.4,1057.5,2006.0,1748,2.6,0.036,0.043,0.171,Hoàng Anh Gia Lai,http://www.hagl.com.vn
HAH,HOSE,Hàng & Dịch vụ Công nghiệp,CT,13980,0.093,121.3,121.3,2009.0,607,3.5,0.022,0.042,0.059,Vận tải và Xếp dỡ Hải An,https://haiants.vn
HAI,UPCOM,Hóa chất,CT,19709,0.012,182.7,182.7,2005.0,140,2.4,-0.006,-0.015,-0.131,Nông Dược HAI,http://www.congtyhai.com
HAM,UPCOM,Xây dựng và Vật liệu,CT,242,0.0,9.6,9.3,2003.0,199,,-0.006,0.02,0.044,Vật tư Hậu Giang,http://hamaco.vn
HAN,UPCOM,Xây dựng và Vật liệu,CT,388,0.0,141.0,141.0,1996.0,486,2.0,-0.077,-0.036,-0.155,Xây dựng Hà Nội,https://www.hancorp.vn
HAP,HOSE,Tài nguyên Cơ bản,CT,9089,0.022,110.9,111.1,1999.0,680,2.6,0.025,-0.029,-0.26,Tập đoàn Hapaco,https://hapaco.vn
HAR,HOSE,Bất động sản,CT,9423,0.001,95.7,101.4,2007.0,7,2.6,-0.02,-0.037,-0.169,BĐS An Dương Thảo Điền,http://www.adtdgroup.com
HAS,HOSE,Xây dựng và Vật liệu,CT,1392,0.153,7.8,8.0,2001.0,139,2.7,-0.006,-0.092,0.008,Hacisco,https://has.vn
HAT,HNX,Thực phẩm và đồ uống,CT,404,0.051,3.1,3.1,2006.0,87,,0.041,-0.062,0.158,TM Bia Hà Nội,http://www.biahoihanoi.com.vn
HAV,UPCOM,Thực phẩm và đồ uống,CT,350,0.0,3.3,3.3,2007.0,5,,-0.169,-0.129,-0.098,Rượu Hapro,http://www.haprovodka.vn
HAX,HOSE,Ô tô và phụ tùng,CT,6546,0.175,107.4,107.4,2000.0,1151,2.3,-0.039,-0.053,0.159,Ô tô Hàng Xanh,http://www.haxaco.com.vn
HBC,UPCOM,Xây dựng và Vật liệu,CT,38183,0.105,347.2,347.2,2000.0,2163,2.0,0.01,,-0.489,Tập đoàn Xây dựng Hòa Bình,https://hbcg.vn
HBD,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,243,0.005,1.9,2.0,2002.0,2,2.6,-0.006,-0.067,0.089,Bao bì PP Bình Dương,http://www.haipacbd.com
HBH,UPCOM,Thực phẩm và đồ uống,CT,237,0.02,16.0,16.0,2007.0,76,,-0.058,0.064,-0.285,HABECO Hải Phòng,https://habecohaiphong.com.vn
HBS,HNX,Dịch vụ tài chính,CK,0,0.002,33.0,33.0,2008.0,20,2.8,-0.031,-0.039,0.025,Chứng khoán Hòa Bình,http://www.hbse.com.vn
HC1,UPCOM,Xây dựng và Vật liệu,CT,217,0.0,8.0,8.0,2013.0,240,,-0.006,0.496,-0.11,Xây dựng số 1 Hà Nội,http://hacc1.com.vn
HC3,UPCOM,Xây dựng và Vật liệu,CT,222,0.002,20.7,20.7,2002.0,113,2.7,0.003,0.014,-0.172,Xây dựng số 3 Hải Phòng,http://haco3.com.vn
HCB,UPCOM,Hàng cá nhân & Gia dụng,CT,381,0.0,5.2,5.2,2007.0,3329,,-0.126,-0.135,0.328,Dệt may 29/3,http://www.hachiba.com.vn
HCC,HNX,Xây dựng và Vật liệu,CT,655,0.129,6.5,6.5,2001.0,210,,-0.015,-0.024,0.157,Bê tông Hòa Cầm,http://www.betonghoacam.com.vn
HCD,HOSE,Hóa chất,CT,1050,0.011,37.0,37.0,2011.0,19,,-0.031,-0.044,0.245,SX và Thương mại HCD,http://www.hcdgroup.com.vn
HCI,UPCOM,Xây dựng và Vật liệu,CT,0,0.0,5.2,5.2,2006.0,62,,-0.006,-0.015,-0.158,Đầu tư - XD Hà Nội,http://www.hancic.com.vn
HCM,HOSE,Dịch vụ tài chính,CK,31042,0.47,704.0,704.8,2003.0,666,2.6,-0.005,0.028,0.367,Chứng khoán HSC,https://www.hsc.com.vn
HCT,HNX,Hàng & Dịch vụ Công nghiệp,CT,0,0.004,2.0,2.0,2003.0,79,,-0.106,-0.188,-0.408,TM - DV - Vận tải Xi măng Hải Phòng ,https://vtxmhp.com
HD2,UPCOM,Bất động sản,CT,387,0.001,9.0,9.0,2004.0,49,,-0.048,-0.043,-0.494,Đầu tư phát triển nhà HUD 2,http://www.hud2.com.vn
HD6,UPCOM,Bất động sản,CT,1463,0.0,15.1,15.1,2005.0,40,,-0.027,-0.021,-0.421,Phát triển nhà số 6 Hà Nội,http://www.handico6.com.vn
HD8,UPCOM,Bất động sản,CT,308,0.0,10.0,10.0,2007.0,21,,-0.062,-0.015,-0.047,PT Nhà và Đô thị HUD8,http://hud8.vn
HDA,HNX,Xây dựng và Vật liệu,CT,847,0.003,27.6,27.6,2006.0,178,2.5,-0.078,0.039,-0.381,Hãng sơn Đông Á,https://hangsondonga.com.vn
HDB,HOSE,Ngân hàng,NH,18427,0.185,2912.6,2907.6,1992.0,17772,2.9,-0.014,0.021,0.545,HDBank,https://hdbank.com.vn
HDC,HOSE,Bất động sản,CT,0,0.028,178.4,155.1,2001.0,107,2.3,-0.016,0.017,-0.138,Phát triển Nhà BR-VT,http://www.hodeco.vn
HDG,HOSE,Bất động sản,CT,12759,0.145,336.3,336.3,2005.0,746,2.6,0.003,-0.051,-0.03,Tập đoàn Hà Đô,https://hado.com.vn
HDM,UPCOM,Hàng cá nhân & Gia dụng,CT,1078,0.001,20.1,20.1,2005.0,4148,2.9,-0.013,-0.009,0.278,Dệt May Huế,http://www.huegatex.com.vn
HDO,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,685,0.004,16.8,17.0,2000.0,2,,-0.006,-0.015,-0.331,Hưng Đạo Container,http://www.hungdaocontainer.com.vn
HDP,UPCOM,Y tế,CT,498,0.002,9.9,9.9,2004.0,574,,0.022,0.014,0.123,Dược Hà Tĩnh,https://hadiphar.vn
HDW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,934,0.0,31.9,31.9,1998.0,936,3.3,-0.006,-0.061,0.039,Nước sạch Hải Dương,http://hdwaco.com.vn
HEC,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,163,0.0,6.0,6.0,2004.0,230,3.1,-0.042,-0.093,0.111,Tư vấn XD Thủy Lợi II (HEC II),http://hec2.vn
HEJ,UPCOM,Xây dựng và Vật liệu,CT,0,0.0,4.4,4.4,2008.0,245,,0.013,0.035,-0.254,Tư vấn Xây dựng Thủy Lợi VN,http://www.hec.com.vn
HEM,OTC,Hàng & Dịch vụ Công nghiệp,CT,423,0.0,38.7,38.7,2009.0,256,2.4,,,,Chế tạo điện cơ Hà Nội,https://hem.vn
HEP,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,429,0.007,6.0,6.0,2005.0,846,,-0.006,0.12,0.36,Môi trường và Công trình đô thị Huế,http://www.hepco.com.vn
HES,UPCOM,Du lịch và Giải trí,CT,408,0.0,9.3,9.3,1999.0,171,,-0.006,0.462,0.381,Dịch vụ Giải trí Hà Nội,https://congvienhotay.vn
HEV,HNX,Truyền thông,CT,129,0.023,1.0,1.0,2004.0,23,,-0.006,-0.015,-0.131,Sách Đại học - Dạy nghề,http://hevobco.com.vn
HFB,UPCOM,Xây dựng và Vật liệu,CT,278,0.0,9.1,9.1,2010.0,295,,0.005,-0.015,-0.048,Công trình Cầu phà TP HCM,http://caupha.com
HFC,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,193,0.0,10.2,10.2,2006.0,203,,-0.006,-0.119,-0.408,Xăng dầu HFC,http://www.hanoifuel.com.vn
HFX,UPCOM,Bán lẻ,CT,107,0.0,1.3,1.3,1992.0,18,,-0.006,-0.015,0.766,XNK Thanh Hà,http://haforexim.com.vn
HGM,HNX,Tài nguyên Cơ bản,CT,185,0.002,12.6,12.6,2006.0,142,3.2,-0.008,0.106,0.649,Khoáng sản Hà Giang,https://hgm.vn
HGT,UPCOM,Du lịch và Giải trí,CT,203,0.49,20.0,20.0,2007.0,133,,-0.006,-0.015,-0.131,Du lịch Hương Giang,https://www.huonggiangtourist.com
HGW,OTC,"Điện, nước & xăng dầu khí đốt",CT,219,0.0,24.9,24.9,2004.0,616,2.6,,,,Công trình đô thị Hậu Giang,http://www.capnuochaugiang.vn
HHC,HNX,Thực phẩm và đồ uống,CT,416,0.002,16.4,16.4,2007.0,954,2.3,-0.006,0.099,-0.034,Bánh kẹo Hải Hà,http://www.haihaco.com.vn
